Key:	Timestamp:
A	1,444528s
W	1,53937s
D	1,855088s
W	2,613887s
D	2,793372s
D	3,830173s
W	4,007991s
W	6,689611s
W	7,191441s
W	7,224097s
W	7,257635s
W	7,28906s
W	7,323004s
A	7,551927s
S	7,557992s
D	7,69843s
W	7,894118s
A	8,103071s
D	8,476206s
W	8,7706s
Space	9,15331s
D	9,547814s
S	9,852959s
D	10,10491s
W	10,18998s
W	10,7923s
W	10,82505s
D	10,85614s
W	11,2114s
A	11,3769s
S	11,55691s
D	11,60242s
W	11,87891s
A	12,07456s
Space	12,11242s
D	12,37674s
W	12,73791s
A	12,95533s
A	13,45433s
D	13,49384s
Space	13,73691s
D	14,19836s
Space	14,75766s
A	15,09315s
D	15,30133s
W	15,57742s
Space	15,67157s
A	15,97825s
LeftControl	16,08792s
LeftControl	16,65333s
D	17,17819s
A	17,3639s
W	17,63203s
Space	17,73188s
LeftControl	18,33022s
Space	18,7113s
LeftControl	18,84729s
A	19,25688s
W	19,38236s
LeftControl	19,51226s
D	19,66892s
A	19,87533s
S	19,97447s
W	20,19652s
D	20,33698s
Space	20,44105s
LeftControl	20,60119s
A	20,85941s
S	21,13546s
D	21,34656s
A	21,46356s
W	21,7142s
D	22,29383s
A	22,33713s
S	22,3402s
W	22,983s
D	23,08322s
A	23,25707s
S	23,80413s
W	24,36493s
D	24,72343s
A	25,00438s
W	25,16601s
D	25,30489s
A	25,48328s
S	25,55738s
D	25,73834s
W	25,86483s
A	26,23344s
W	26,97387s
A	27,26907s
W	27,80607s
D	27,87041s
W	29,62794s
W	30,12548s
W	30,15974s
W	30,19149s
W	30,22536s
W	30,25883s
W	30,29135s
W	30,32454s
A	30,35538s
A	30,84731s
A	30,88129s
A	30,91346s
A	30,94718s
A	30,98009s
A	31,0124s
A	31,04615s
A	31,07821s
A	31,11173s
A	31,14482s
A	31,17721s
A	31,21129s
A	31,24439s
A	31,27645s
A	31,30923s
A	31,34255s
A	31,37569s
A	31,41068s
W	32,86097s
W	33,36073s
W	33,39344s
W	33,42694s
W	33,45942s
W	33,49247s
W	33,52494s
W	33,55849s
W	33,59151s
W	33,62403s
W	33,65681s
W	33,6898s
W	33,72414s
W	33,75779s
A	33,75779s
W	34,79116s
W	35,29156s
W	35,3311s
D	35,33689s
D	35,83781s
D	35,86996s
D	35,90293s
D	35,9368s
D	35,97008s
D	36,00251s
W	37,48647s
A	38,10302s
W	38,22088s
D	38,8175s
W	39,19585s
A	39,21851s
W	39,83076s
S	40,2979s
D	40,68674s
W	40,97752s
A	42,19676s
W	42,43879s
Escape	42,73351s

